"Nome.da.variavel"	"Unidade.de.medida"	"dados_id_febr"
"Avaliação de fertilidade dos solos - Cálcio"	"mE/100cm3"	"ctb0714"
"Soma de bases permutáveis (S)"	"mE de cátions/100 g de tfsa"	"ctb0751"
"Capacidade de troca de cátions (T)"	"mE/100 g de tfsa"	"ctb0751"
"Soma de bases permutáveis (S)"	"mE de cátions/100g de tfsa"	"ctb0752"
"Capacidade de troca de cátions (T)"	"mE/100g de tfsa"	"ctb0753"
"Valor T"	"mE/100g "	"ctb0754"
"Pasta saturada - C.E do extrato"	"mmhos/cm a 25ºC"	"ctb0757"
"Cálcio trocável"	"mE/ 100g"	"ctb0762"
"Capacidade de troca de cátions (T)"	"mE/ 1 00 g de tfsa"	"ctb0762"
"Porosidade"	"% (volume)"	"ctb0764"
"Porosidade"	"% volume"	"ctb0768"
"Porosidade"	"cm³/100cm³"	"ctb0772"
"Condutividade elétrica do extrato de saturação"	"mS/cm"	"ctb0772"
"Densidade"	"mg/m³"	"ctb0773"
"Ca++ permutável"	"mE/100g TFSA"	"ctb0782"
"Sódio Trocável"	"mE/100g de TFSE"	"ctb0783"
"Cálcio"	"cmol/L"	"ctb0794"
"pH em água"	"- "	"ctb0795"
"SiO2"	"mL"	"ctb0795"
"Complexo sortivo - Ca++"	"m.eq/100g"	"ctb0798"
"Valor V"	"% V"	"ctb0799"
"Análise granulometrica Areia grossa 2-0,2 mm"	"dag/kg de TSFA"	"ctb0801"
"Cálcio trocável"	"cmol/kg de TSFA"	"ctb0801"
"Capacidade de troca de cátions da fração argila após o desconto da contribuição da matéria orgânica (CTC argila)"	"cmol/kg de argila após desconto da contribuição da matéria orgânica"	"ctb0801"
"Densidade aparente (Da)"	"kg"	"ctb0802"
"Umidade atual (Ua)"	"kg/m³"	"ctb0802"
"Microporosidade"	"%M"	"ctb0802"
"Macroporosidade"	"%Ma"	"ctb0802"
"Condutividade hidráulica"	"K"	"ctb0802"
"Densidade real (Dr)"	"Não informada"	"ctb0802"
"C. E. do extrato "	"mS/cm 25ºC Água"	"ctb0808"
"Condutividade Elétrica do extrato de saturação (CE)"	"dS.m-1"	"ctb0815"
"CTC efetiva"	"cmolc.dm-3"	"ctb0815"
"Matéria orgânica (MO)"	"g.dm-3"	"ctb0815"
"Ponto de murcha permanente (PMP)"	"g.kg-1."	"ctb0815"
" Permeabilidade do solo"	"mm.h-1"	"ctb0815"
"Complexo Sortivo - Ca++"	"mE / 100g"	"ctb0818"
"Complexo sortivo Ca++"	"Meq/100g"	"ctb0821"
"Sal solúvel Ca++"	"Meq/100g de T.F."	"ctb0821"
"Ca++"	"mE/100g de solo"	"new194"
"Fe"	"% (m/m)"	"new197"
"Cr"	"ug/g"	"new197"
"Ca2+ trocável"	"cmolc/L"	"new198"
"P "	"mg/L"	"new198"
"Ca++ "	"cmol/dm^3"	"new200"
"P"	"solo-mg/L"	"new200"
"Carbono Orgânico"	"g/L"	"new200"
"Densidade das partículas"	"Kg/dm^3"	"new201"
"Umidade a - 0,034 Mpa (Capacidade de Campo)"	"Mpa"	"new201"
"Água disponível em cm^3.cm^-3"	"cm^3.cm^-3"	"new201"
"Fósforo Assimilável"	"mg/dm^3"	"new201"
"Ácidez extraível (H+ + Al+++)"	"meq/100g de solo"	"new212"
"CTC de argila"	"meq/100g de argila"	"new212"
"Ferro"	"mg/100g de solo "	"new212"
